date,stacked1,stacked2,stacked3
05-07-2015,365.0534850525065,506.97240129671866,187.91883468713567
12-07-2015,377.0076361017858,507.2294509791655,186.1336877202188
19-07-2015,386.15462011472164,527.3709175431516,183.62788374486846
26-07-2015,375.5731720865857,527.0343863770207,188.57805077609615
02-08-2015,378.45403188420033,536.8159776185945,209.6540996630988
09-08-2015,357.9799786431791,543.7890101643787,211.67839270893768
16-08-2015,337.71253788191797,536.8753772189175,213.4104452751557
23-08-2015,342.3991467656384,522.3764305852707,215.53711357434466
30-08-2015,341.99896899094705,529.9605889383199,203.37082764483156
06-09-2015,344.5232436262228,534.4265793661403,194.8228678766293
13-09-2015,346.84518154280687,544.2405613591332,206.70798070308635
20-09-2015,341.0443128934172,561.1416602516201,217.28832250972548
27-09-2015,338.3303591761217,576.520398759144,203.3153020917619
04-10-2015,332.5462678276244,559.5685283004391,211.44369091943904
11-10-2015,324.86879156754304,565.8182412091052,211.28250958543612
18-10-2015,326.9478724314598,564.2857294971963,197.49136039327306
25-10-2015,325.40688975140245,543.6139864280824,186.7914470816172
01-11-2015,321.1504732810775,547.8826031999516,197.8025426849944
08-11-2015,334.9691499015797,543.40259310949,190.75174073310913
15-11-2015,354.63327393824,539.3612871853722,194.38244569411526
22-11-2015,378.768891786704,559.6672179112918,190.87740622525524
29-11-2015,397.74906460909204,556.5599392440713,196.2094649077235
06-12-2015,402.88022505800944,555.8345227628995,204.88436058030751
13-12-2015,383.0612215274685,555.697005019905,219.58804937016876
20-12-2015,382.317039933702,557.9561882093046,222.58807807509385
27-12-2015,370.2485702574657,564.9476331903682,212.90429960439522
03-01-2016,381.01173176603334,563.9961364379525,206.73991793620505
10-01-2016,394.4532792611152,574.226694276818,210.7595720712064
17-01-2016,407.31772073259384,581.7437498870888,223.31610602278346
24-01-2016,402.85723335385927,573.1873506868377,241.94136756508303
31-01-2016,394.9385625419307,581.0507752547247,260.28827556177447
07-02-2016,409.14342542055874,586.667085249943,245.36720318066338
14-02-2016,403.343549348169,573.589490562576,242.8640120807815
21-02-2016,397.3211680122209,584.2165969535478,236.65309082135627
28-02-2016,384.5597685709066,585.2535964022123,231.5760517979299
06-03-2016,366.8946442244339,590.4473367978228,209.52499511629557
13-03-2016,381.1041669965078,589.3464748017426,201.6928715777402
20-03-2016,389.90543418770125,599.0841582837002,190.95719851159225
27-03-2016,389.5606664293222,597.1983014147064,177.16917668092623
03-04-2016,393.5827150418164,594.1268080091324,178.65545497299257
10-04-2016,384.9296729700224,604.5641819302394,180.22153159787666
17-04-2016,393.2881838955923,608.3736305506255,168.69633879705876
24-04-2016,380.6674674570005,595.0834847513594,154.40772179907722
01-05-2016,385.3828372197543,601.5017778341404,142.66012123938702
08-05-2016,380.1310614667363,599.0258046526343,128.39786995150942
15-05-2016,371.0486960402794,603.1277521879034,134.53414186004653
22-05-2016,373.8858864004747,620.2234570087634,145.09100538363487
29-05-2016,362.85620093086624,612.6325314155528,157.1501069468089
05-06-2016,367.94166146271647,593.9253913920238,165.6698567213364
12-06-2016,382.0441021193941,609.5742695373043,187.79732534262212
19-06-2016,366.4329712140619,600.2679217997911,190.91534663180846
26-06-2016,356.017128040612,581.526590609992,177.46768975705066
03-07-2016,351.3280519182093,578.9383114193802,166.49132766812303
10-07-2016,348.5760117437065,572.5260643351218,176.84078591745123
17-07-2016,343.35875716089555,567.2385468020558,183.1322396693581
24-07-2016,326.2960834387624,561.808056176379,186.85639519001853
31-07-2016,332.83888861015436,551.0659845045378,186.4540207403925
07-08-2016,334.69440749981555,543.4574653067132,193.62442962848442
14-08-2016,344.69653576277295,540.6010549585745,200.58383312447225
21-08-2016,342.60240368796946,537.3084185057484,195.17637920191754
28-08-2016,324.535428154382,515.8072297133205,172.7441100214946
04-09-2016,338.61733340847746,505.2351473226393,160.45401314123814
11-09-2016,339.2877009792786,510.0169895457182,156.91339866241012
18-09-2016,319.32887409664147,490.33100650280807,141.84641768184437
25-09-2016,313.73726265010777,486.40258119781623,129.57141233536638
02-10-2016,337.1159526519851,480.5822011032074,148.83100659733918
09-10-2016,342.2633707727412,472.62998571086234,159.21400976358183
16-10-2016,345.3256310993229,462.10725952456556,143.30473977424543
23-10-2016,344.6959746932187,442.2841090864692,145.42874315220655
30-10-2016,357.9797890657343,443.780908773905,145.90008654093384
06-11-2016,374.74507616516377,466.9277409260054,137.48905599625581
13-11-2016,371.7400524624575,470.63385335994,146.20008357070336
20-11-2016,364.76898661402186,482.98799679681986,150.20833635202183
27-11-2016,380.49434403087196,492.6986892883534,145.3104873098255
04-12-2016,397.03350449208807,500.77000328756054,166.30882721591226
11-12-2016,390.1854267544844,523.7818909116927,182.08099816136442
18-12-2016,390.4639950707377,529.4170327507246,181.59961922436085
25-12-2016,390.3080151324761,532.6323111657712,190.67059386469882
01-01-2017,410.8447045437425,549.6278805401328,189.9152119805558
08-01-2017,404.821639820072,577.5886739581288,178.37505165997501
15-01-2017,415.37606505487275,572.1491173444325,178.70586679472075
22-01-2017,422.2718301511482,573.2356818251457,192.65271008755167
29-01-2017,435.9531520055496,580.2478970280243,198.2254909759083
05-02-2017,418.0642190094244,585.4397880527129,203.93637684842903
12-02-2017,401.9311054840909,569.1916754420008,199.86534829162187
19-02-2017,389.921352908751,583.2697188923127,187.5164068570504
26-02-2017,391.1310696551141,577.437975815284,191.98327904753802
05-03-2017,391.84386631898985,575.8959915196467,203.30418327376688
12-03-2017,396.0095937611239,567.8407663961913,203.51851876687647
19-03-2017,384.75206541678705,552.636121039777,180.67018341147005
26-03-2017,385.8359053685017,563.4245521949615,185.60526263813978
02-04-2017,400.5091836540826,572.0301249019423,175.27086638364992
09-04-2017,383.04045780987286,572.7782851192131,185.2433359869908
16-04-2017,383.72492112378546,569.8162908827986,183.69611511456492
23-04-2017,387.60325048661144,569.144777471698,179.48568791003396
30-04-2017,393.94155762781025,582.5695687845375,183.44406598832302
07-05-2017,378.0122007975712,576.1481848665929,189.40414315104516
14-05-2017,388.43328230268696,568.3750818043391,188.80693413990585
21-05-2017,396.8892097773652,588.8292393231867,207.1811591222832
28-05-2017,392.0795079090697,574.3791321720604,210.07896057723227
04-06-2017,395.59402572201054,566.5900251217777,210.40774698257152
11-06-2017,391.16606843610987,546.5870135702223,204.00432279812526
18-06-2017,373.1377988247833,545.6763698997657,198.4357692966675
25-06-2017,395.374280300107,547.37246803248,211.40684374583392
02-07-2017,390.2975277255311,545.1084777509611,217.03223061102037
09-07-2017,380.08532429423514,539.6268902461119,208.82581118190288
16-07-2017,388.960742940499,543.7517822263811,201.318233092865
23-07-2017,376.3300635436014,523.91515567505,218.06749036621878
30-07-2017,359.66621910477176,535.0700237749835,234.54600664311354
06-08-2017,348.27888162878077,535.9054282224545,230.09022993650464
13-08-2017,346.0743199789343,541.075706707704,221.2065693424001
20-08-2017,350.41198712057866,549.0945012753253,227.29566188823327
27-08-2017,340.0250206138306,521.580293909812,226.12673953529452
03-09-2017,347.5947415686002,522.6456905956363,222.3867271797547
10-09-2017,348.99189595415527,519.3807704295427,204.9760602225385
