date,stacked1,stacked2,stacked3
2015-07-05,377.11812192200836,542.8894137977694,181.03250368809458
2015-07-12,385.92712348577305,536.4213576077539,190.05272046310546
2015-07-19,368.54782358046316,527.1873272678441,199.62621358721586
2015-07-26,365.48705737611806,536.2140976254204,181.40037837749784
2015-08-02,353.4029076322314,539.1740624820239,183.04027867419882
2015-08-09,361.5061052361701,556.9737903987816,176.4917537827934
2015-08-16,377.28240926678507,564.1191625968921,170.8980706503339
2015-08-23,365.37836708010644,579.8633155752142,166.23625141378255
2015-08-30,369.1923871133807,592.9548090229127,184.94439718179592
2015-09-06,354.3764470851273,586.4831570393478,190.33440801721457
2015-09-13,336.2807616692012,570.2701435407079,183.07673051790098
2015-09-20,331.3194456077639,563.3889302458989,171.3885521617396
2015-09-27,323.577806473456,575.8750821821379,176.75520905528342
2015-10-04,329.2737300706957,573.9191674454827,171.15891721558643
2015-10-11,325.2359769177211,581.4029781124922,159.0243996506062
2015-10-18,321.28903098178256,568.907095853555,165.06114632945784
2015-10-25,335.7957429020069,572.4554951572023,140.1325132216717
2015-11-01,331.1999085284695,570.2269863721409,149.4032548697928
2015-11-08,341.938665867241,551.9200996389253,163.7313182787794
2015-11-15,353.70220898164683,539.9951179595618,143.7851944734255
2015-11-22,346.9329537460479,535.314893246872,158.60553258662495
2015-11-29,345.6454469658876,537.5647994281677,160.1401882682421
2015-12-06,345.5175890341914,537.0554902538848,141.96373724772243
2015-12-13,360.00528745087485,519.5396571517591,151.07743482432252
2015-12-20,363.70980453946,520.1074446600293,160.3675859065059
2015-12-27,377.0596959114283,529.0408131055567,163.71150929476374
2016-01-03,363.15787513359373,529.0656178109996,166.87493988455415
2016-01-10,376.06550463291916,530.5727439215068,174.73582099564356
2016-01-17,391.06999586181166,520.6412172509562,177.3284820572797
2016-01-24,397.482228887426,523.1585121387567,184.62588709937526
2016-01-31,400.59074194920623,535.5720494286867,209.85601475588072
2016-02-07,411.19124473045446,539.7593005286808,223.1391039941928
2016-02-14,394.9621052923622,569.3571702429124,217.89100113080954
