date,serie1,serie2,serie3,serie4
2015-04-05,235.69203205016396,120.96752719276166,199.8708813369585,203.01557403422584
2015-04-12,231.71444749400243,121.34705503112275,208.07307120892295,204.59729044873174
2015-04-19,234.80239812900132,128.97018646903902,206.58804326737624,200.78120172149127
2015-04-26,243.0986680548006,137.62034457630722,196.02557439239325,216.29139130624873
2015-05-03,232.57266885226176,142.60149813332376,205.3274323338821,216.6225562548727
2015-05-10,246.67374207114725,158.022993272582,201.1130093801355,201.81491492347283
2015-05-17,230.01699001181098,155.1739818647714,204.31838138202465,198.67519530838817
2015-05-24,227.36673768839435,155.2416607722794,201.29513202716313,213.8168557284319
2015-05-31,217.02189977301651,160.38872353564125,199.4469651698846,209.8332866919831
2015-06-07,204.3475180200983,159.75271594794705,198.51240589495072,215.1178593686293
2015-06-14,201.1283474275226,174.06714515779828,202.30785193138573,226.02865374903712
2015-06-21,208.9884442288001,166.9385703000126,203.84093899554588,221.20840503816027
2015-06-28,212.6345849622117,154.98887261828946,204.14863233962882,206.51282903642294
2015-07-05,213.0990221610201,150.8501003453384,220.73301818155034,189.65868771618747
2015-07-12,212.2930538713415,156.00004620457148,197.9805987958844,175.41263584257447
2015-07-19,225.92900259512595,167.2334610165376,197.5962640810695,161.54763514662065
2015-07-26,226.67025108774754,168.09523990810402,204.758590762599,165.22617796590788
2015-08-02,227.33889548686534,161.04489257630757,220.79010416488384,149.9306676977271
2015-08-09,233.7280470825189,167.81270170542962,202.63342044885172,151.6041954865056
2015-08-16,227.78693284556377,152.56748714334938,202.74090382265135,149.98466360251845
2015-08-23,241.78925456600726,152.14234219622645,202.5653968731996,153.66279363394253
2015-08-30,252.97885464716734,145.19744928623945,206.16632936389846,155.2668642399428
2015-09-06,253.97266234755995,136.031238327111,190.5075842447204,161.5375594799511
2015-09-13,269.93467272334584,136.43476333180018,172.6161526294781,157.01257114791014
2015-09-20,263.148970661687,131.59424891519012,180.69231509791675,153.52287186803252
2015-09-27,255.9369030492215,147.4122581082498,173.94125924323643,145.0621141879469
2015-10-04,237.1072256135705,163.9765840759795,170.51948990503885,160.80750557015176
2015-10-11,244.3733653275795,169.6918392365667,169.18957550324217,164.2415391684245
2015-10-18,226.0359299481281,168.65080935724055,190.39407546986723,180.15819996634056
2015-10-25,234.23415157794398,160.92789548749286,177.21826873477116,197.1854247405237
2015-11-01,223.002297321952,156.59591894210374,173.9924340556367,188.43858262927395
2015-11-08,209.27463056824453,152.1627108636686,161.26425290367524,186.5306905594548
2015-11-15,203.74082077568943,137.82002997511285,165.66903167076222,176.8413742732451
2015-11-22,187.42038433369058,147.56941071956376,149.40341742772998,193.83796822239466
2015-11-29,174.11532758775567,162.4136051940279,146.04927282230346,202.77856687329387
2015-12-06,162.8339874818714,172.9143885150868,128.65106263503182,194.20231990044584
2015-12-13,171.22289116431867,169.8104999934308,148.77201498414342,194.76019938524425
2015-12-20,169.07340542211128,152.49682014176088,159.838386339789,183.03020960932847
2015-12-27,172.7975388625726,134.82361401780037,164.73532224643648,187.27743032008297
2016-01-03,177.41778319833972,130.2553648460854,183.34532782182177,183.0371265154047
2016-01-10,179.7170981762249,121.49830342253992,201.0136863244241,170.54247250074246
2016-01-17,169.66449063993332,112.23983370565033,185.53323078320588,170.11790938313507
2016-01-24,174.05967339224148,107.76250600658068,179.26301546662845,151.1644328353606
2016-01-31,153.46049444435135,120.20607320392718,189.50636815687542,135.14794804177998
2016-02-07,141.20406301792576,117.35183437490639,186.661774999437,133.32319216746393
2016-02-14,156.397172562492,122.36803335958733,189.3144207916416,146.87344628818641
2016-02-21,156.7796732709681,134.07296501791615,186.54750942296022,146.51285120992756
2016-02-28,168.53255563523518,143.17133038974563,206.2339878509297,136.18582362456667
2016-03-06,168.00382289193698,134.45819661449448,209.02720546272693,142.0819929685038
2016-03-13,162.85994582051987,141.54447861872995,228.14715506964922,138.22345225024495
2016-03-20,141.8352447644042,157.10827501621392,225.60786055966992,121.47777449050953
2016-03-27,142.30534524292784,162.21330802141713,214.9621045675831,143.93201028425577
2016-04-03,151.2542141239816,171.01703764404894,199.73406797831117,132.51559515024192
2016-04-10,166.15082327537385,179.38620855851306,183.52301605267195,136.2196445778484
2016-04-17,184.2033078020233,170.59885009055432,167.46383557809503,145.4444635151058
2016-04-24,184.29431808332907,187.4020726958748,176.0257375645995,141.41446831349108
2016-05-01,189.79577818777238,201.0364064099374,177.81159139483003,148.73886344403618
2016-05-08,191.5547923800214,206.8594310315983,187.39344483617853,164.57242633843683
2016-05-15,204.8520304723085,209.73883470959228,178.93430702940935,166.68837337818087
2016-05-22,197.06792892230195,229.02688253137146,181.60190585391751,155.63787862995468
2016-05-29,194.65109233471892,233.46154159652596,186.3897838136913,175.29444046585334
2016-06-05,194.06767235640496,231.77547265610494,187.25191878157062,178.12255456739027
2016-06-12,201.48550376691102,237.7247990220939,199.64366028294862,166.0630767339528
2016-06-19,200.69693260415076,216.78858014217033,199.20708405384462,170.07194754605044
2016-06-26,210.84118442973576,215.8289953306125,189.49767322406925,172.09304476256108
2016-07-03,211.5094717654037,217.03210456325255,209.89311720692075,155.13598062464416
2016-07-10,207.5597907251606,220.9668654761751,202.37770188750645,153.60981099366134
2016-07-17,198.61580749315618,213.6972641382725,201.80790717644123,159.65599675403467
2016-07-24,195.74208512055068,225.7069569708954,214.02919368255334,150.32189221863652
2016-07-31,202.04909854378232,218.0190514583266,216.4797446513356,166.32688015487105
2016-08-07,207.5187530210569,216.6815391204472,207.38441999904677,159.44323403714728
2016-08-14,209.08534457505036,197.24904585867787,194.64419932775306,137.14309673208587
2016-08-21,199.2033261428983,206.64473213889133,203.65634953646102,141.12539791640822
2016-08-28,202.88611176268938,186.66021353108184,205.77458032514613,152.62556924809755
2016-09-04,219.22885427522326,190.1562149383114,218.42488697890866,141.08373434814388
2016-09-11,220.35741135150622,183.46792120600358,200.2839716641177,130.2267255318981
2016-09-18,223.87561785605422,179.48080321558518,185.95320070052796,144.28178181467587
2016-09-25,222.92618140169617,187.14634820124022,176.70722498820234,131.03300532154796
2016-10-02,216.22704632714562,172.73020791770037,176.297480591385,145.16881296286778
2016-10-09,220.19647447156393,172.99518379709616,158.7006973090824,163.47218183564297
2016-10-16,233.06055513066116,180.8853978123734,179.3591130664752,176.2275777450125
2016-10-23,236.68446698682533,187.29122670069566,195.1618713992434,188.6032429053831
2016-10-30,228.21318663426797,181.45071404996966,174.72268836466944,205.6908428407501
2016-11-06,231.25681408245833,184.9983144902932,176.9168644988321,199.17448820722598
2016-11-13,232.82640229063244,174.0234683309812,181.06114227280207,212.5633877364323
2016-11-20,233.06934314166617,177.89965910289547,178.3618273913569,232.02123611427604
2016-11-27,239.86238912425486,182.50109496238696,177.24224342652056,239.783568078863
2016-12-04,238.63950768459515,178.2918447618295,186.96314388206568,243.4604253785035
2016-12-11,220.88171480035382,170.0258404445047,172.05327122586988,235.21477587364868
2016-12-18,223.625722112436,158.34672527796806,183.80153485421948,244.62132799056164
2016-12-25,211.6675891997241,165.02716639636523,189.44547487906758,236.17179478640176
2017-01-01,226.01508947525238,167.7588886931682,181.1154580266772,240.09117783678226
2017-01-08,240.2366415800756,179.78863345208725,182.36299565928115,218.20926715237624
2017-01-15,231.292176847265,196.602302998768,195.75867359328117,206.97217434819422
2017-01-22,210.35247744978966,183.00378044566625,179.72414966354276,208.40636911384718
2017-01-29,213.76159624987937,169.5054084148965,185.09893539380573,202.89857491263652
2017-02-05,208.1635941055753,180.32473349236963,189.01055453345944,195.95940406733072
2017-02-12,199.42351866810208,170.510714885148,191.20337868382964,200.16193165172305
2017-02-19,190.41398936402985,179.39013985707152,195.22025855623704,203.85382586322217
2017-02-26,191.09857717967756,186.06453997387783,199.2788493334236,183.7646535857842
2017-03-05,193.32800465051008,173.02324175418926,200.98012973405258,165.39444839272323
